actor_id,n_events,cv_price,monthly_users,agentic,log_mu
09xObdTUSZVYoV9nw,4,,5,True,1.791759469228055
09yP9WHlJGfas4Vu9,2,0.9428090415820634,1,True,0.6931471805599453
0A0jT3wSXaXW4eyHY,3,0.9428090415820634,0,True,0.0
0A1YUCNzBEkAgyjyz,2,1.4001417856330642,1,True,0.6931471805599453
0A7AaiUgrd2nON55U,2,1.4101787162607609,7,True,2.0794415416798357
0AC2aQxInGAsAyMmL,2,1.2291762738382974,1,True,0.6931471805599453
0ACCf4vfwfp4vqXfJ,2,1.4001417856330642,1,True,0.6931471805599453
0AHhz60Y4gvzSPhLQ,3,1.6562681761318432,1,False,0.6931471805599453
0AIEryiMKxoiMGfRE,3,1.0980743039208651,1,True,0.6931471805599453
0AOBM2moAKJXJCiPN,2,1.3862093334152121,0,True,0.0
0APUCS0IKs4WGvRRD,2,1.386209333415212,1,True,0.6931471805599453
0AShiilncm4V2Sh16,1,,1,True,0.6931471805599453
0AashSuJEY8NSeN5l,2,,2,True,1.0986122886681098
0Ac30t0n6l1X0ixj9,2,,1,False,0.6931471805599453
0AhsuL658aHolPbTp,1,,3,True,1.3862943611198906
0AnesnLVhfLp4gcj7,2,,1,True,0.6931471805599453
0B3RF8vMaoZS9OOeK,1,,1,True,0.6931471805599453
0B56agqBrnMtrda2T,1,0.0,1,True,0.6931471805599453
0B7hnJlvisWoqo8dX,1,0.0,1,True,0.6931471805599453
0BBeXFgeQS3U9YloP,2,0.0,1,True,0.6931471805599453
0BDfusavLg1py3he6,2,,3,True,1.3862943611198906
0BGfEB12rypEip6XA,1,,0,True,0.0
0BXmOaIWdo6pUKUdY,5,0.6011057519272295,3,True,1.3862943611198906
0BYNJ9W1EpwRV7ArW,1,0.0,0,True,0.0
0Be708JC6XF2jbcBX,2,,1,True,0.6931471805599453
0BjdiNPP2yhknPpkq,2,1.408567999249849,2,True,1.0986122886681098
0BkNtxdbRuQwOXkGV,1,,1,True,0.6931471805599453
0BprLOARmT2AUc5lb,3,1.558692493111149,7,True,2.0794415416798357
0BsMrc44KQtXeDC2Y,2,1.2795265564328004,1,True,0.6931471805599453
0BsYBrYDr08sLNwYx,2,,4,False,1.6094379124341003
0BxMbiELvOjlaidC8,1,0.0,0,True,0.0
0C5PenergoGhu8wnD,2,,1,True,0.6931471805599453
0C7GpWlg8nEgBc8Kb,2,0.9428090415820635,1,True,0.6931471805599453
0C9QiS4IChNUZvWir,2,0.0,14,True,2.70805020110221
0CG8fAK0YJbZctPRY,2,1.4101787162607609,0,True,0.0
0CJSxQWb8F0ieDLBb,1,,1,True,0.6931471805599453
0CJzUxJ2Jvqd7NVBH,2,,0,True,0.0
0CUfsatHtZBfUO99R,3,1.2368263268895343,11,False,2.4849066497880004
0CWo0rTyw8fmTg6B9,1,,2,True,1.0986122886681098
0CfntlbQcWCDP1h5N,2,,1,True,0.6931471805599453
0Ct5yf88b6c2QilTd,2,0.0,1,True,0.6931471805599453
0CzMjfb2NdkdbveuA,1,0.0,1,True,0.6931471805599453
0D28Ncr35CqvLFGfX,5,1.4645935505592034,1,True,0.6931471805599453
0D51cNYGLyjLUqBLn,1,,1,True,0.6931471805599453
0D9rcq3udy89E5pkd,1,0.0,1,True,0.6931471805599453
0DDkln5qgqdNaelxk,2,,0,True,0.0
0DEafgHh8v5ra0txy,2,1.2795265564328004,2,True,1.0986122886681098
0DKDldeGaePYEXwiP,1,,2,True,1.0986122886681098
0DLPCdzJWXv5HbkVL,14,,1,True,0.6931471805599453
0DWixlPP0dvqA3rRx,2,0.0,0,True,0.0
0DZQSYBoLgufCC5Hg,3,1.6083328927425287,5,True,1.791759469228055
0E2MSaU6hbZ04zjHb,2,,0,True,0.0
0E2MslbGEymwAUNbz,2,0.0,0,True,0.0
0EC4liiWbpeRAV7qq,2,1.4128000555641265,13,True,2.6390573296152584
0EKr7wHu2Decppiwt,2,,1,True,0.6931471805599453
0ELFb6Q0syb31r4XS,2,0.0,4,False,1.6094379124341003
0ELzu36JmdFVhKw4l,2,0.9827585772423204,1,True,0.6931471805599453
0EMD2AVegd3cWZtFz,2,0.0,0,True,0.0
0ENGvSVGzJJmnSFIw,2,0.0,1,False,0.6931471805599453
0EXe0hsmDKWLI3JF9,2,,19,True,2.995732273553991
0Edlnw3rFzLk4xXIQ,2,0.0,3,True,1.3862943611198906
0EgTW8Pnq8b5vrR8z,3,1.6547655583922625,1,True,0.6931471805599453
0Egkok2WIhZvaOiiS,1,,1,True,0.6931471805599453
0EqHKAgysYAn0FlvD,2,,2,True,1.0986122886681098
0Etptt2TZBlHgUsDV,1,0.0,0,True,0.0
0FETT7RzAqSdSrcw7,1,0.0,0,True,0.0
0FFZ89F9tFbS8s4uC,2,1.4136479900626078,1,True,0.6931471805599453
0FPAFUkAYWBKt6LTP,2,0.0,1,True,0.6931471805599453
0FST4w3ofcuwjCgMC,2,0.5091168824543143,1,True,0.6931471805599453
0FXVyOXXEmdGcV88a,7,0.0,5304,True,8.576405051048084
0FeSYWrQnksl7WPxK,2,,3,False,1.3862943611198906
0Flxd56D1xqnbleIj,2,,0,False,0.0
0FmIHsdHogUVkH1Qd,3,0.4330127018922193,0,True,0.0
0FmJuUwavrFjJ89U1,2,1.3232683305955801,1,False,0.6931471805599453
0FmTKkQkKqGM3wI8D,3,1.4997939556605138,1,True,0.6931471805599453
0FyDc6AO4PuHs8CVy,2,0.0,1,True,0.6931471805599453
0G3dx54R8HAzLirrc,2,1.386209333415212,1,True,0.6931471805599453
0G52yWhElfcDcA9wh,2,1.4136479900626078,1,True,0.6931471805599453
0G72x6cFrC9XtDOxv,1,,1,True,0.6931471805599453
0GMgE4rpBzzQXDmY3,2,1.3862093334152121,1,True,0.6931471805599453
0Ga6IO6PeUwhCBq5G,2,,1,True,0.6931471805599453
0GbsvamlGEssANYVx,1,0.0,1,True,0.6931471805599453
0GdnEPlTHVhvYfeSE,2,1.4001417856330642,0,True,0.0
0GfpSWWVXVWJA2x7D,2,1.2168814373908026,1,True,0.6931471805599453
0Gqb08fdY10vYbgLD,2,1.379294708981167,2,True,1.0986122886681098
0GrKCUYNymZjhjcTX,1,0.0,0,True,0.0
0GsvwuAHQrytlWP3m,1,,1,True,0.6931471805599453
0H0ycKUzx7EBh8LDl,2,1.1570838237598051,1,True,0.6931471805599453
0H9mXhmgthokzfriB,2,,3,True,1.3862943611198906
0HOTQOIifw5oiqwpF,2,,1,False,0.6931471805599453
0HOa61SNYHSU1aJeM,2,,0,True,0.0
0HpgK76phBFhi8Ocp,2,0.0,1,True,0.6931471805599453
0Hrd7zAeAFOniGCqN,2,0.9428090415820635,1,True,0.6931471805599453
0HsbMYoHBOBVnsnaA,2,0.0,1,False,0.6931471805599453
0I26MX1yjnW98bYyu,2,0.9827585772423204,0,False,0.0
0I2Vvw2T5f6MiVFMv,2,1.386153769468867,0,False,0.0
0I5AkhpKQVuDCHX2C,1,,1,False,0.6931471805599453
0IXNsCXPu0RsqV9rR,1,,2,True,1.0986122886681098
0Ij7H2jDTv7WsjDQn,2,0.962615954220342,11,False,2.4849066497880004
0Ixcdsv7VOmzuzatl,2,,1,True,0.6931471805599453
0J7JfA55zXp9bfUtm,5,0.7618927103735985,0,True,0.0
0J8vLYBCvbmnshAOo,3,0.7806247497997998,0,True,0.0
0JODbSYfj5XApSkE1,2,0.7053345837399646,0,False,0.0
0JQtOaYzS6S7b5QTf,1,,31,True,3.4657359027997265
0JV8aODQrhhe7r8du,1,,1,True,0.6931471805599453
0JiIIEHhPa9BHOagV,2,1.1570838237598051,1,True,0.6931471805599453
0JkWYNSPibGSDgEW4,3,0.0,1,True,0.6931471805599453
0JlIPSREeZVlZqqi7,1,,4,True,1.6094379124341003
0Jv27VeWM5tSZQs9x,2,,1,True,0.6931471805599453
0JzeNUAd0R8bp60qK,2,1.4106824423671698,1,True,0.6931471805599453
0K28GuJm6tEe1RDXh,1,,1,True,0.6931471805599453
0K4CSTXd3VEUPdIHm,2,0.8485281374238571,1,True,0.6931471805599453
0K8jycllFgGBYKxPJ,2,1.345227534940261,0,True,0.0
0K9vzpA3pFjiaQNX8,2,1.3862093334152121,4,True,1.6094379124341003
0KFuDiWRoCIpStMFu,2,,1,True,0.6931471805599453
0KGYkeuDTaJFv53uP,2,0.6060915267313264,1,True,0.6931471805599453
0KHpwuGIjj9pFfR5c,2,0.0,1,False,0.6931471805599453
0KIe2iak6JvSB9RPN,2,0.0,4,True,1.6094379124341003
0KPGvxjTbuBdNOyoc,2,1.398641036741477,1,True,0.6931471805599453
0KVBstfnrA9kq9DKV,2,1.3966456920330566,1,True,0.6931471805599453
0KZL6gtY9CWJ1AdOd,2,,1,False,0.6931471805599453
0Kf8pk7hKZjrCuaSU,2,1.386153769468867,1,True,0.6931471805599453
0KfVeZ9d2zfcLHVgM,2,0.7071067811865475,0,True,0.0
0KzAYVtr9dAFLZtPG,1,0.0,1,True,0.6931471805599453
0L4k8cFBp1jMBXysP,1,0.0,0,True,0.0
0L5aFliW8oc1Itu2x,1,,1,True,0.6931471805599453
0LGsTJ6fK6MRlsobf,2,,1,True,0.6931471805599453
0LHtISPaCWBl2CSIR,2,1.386153769468867,1,False,0.6931471805599453
0LIFdRULKlhe5GfRo,2,1.2795265564328004,1,True,0.6931471805599453
0LRMVAYsSxuw33ws1,5,1.6357204676219124,1,True,0.6931471805599453
0LSbzoAEFRxfqbmeZ,1,0.0,11,True,2.4849066497880004
0LknHMphYQEKZozLW,2,0.9428090415820632,0,False,0.0
0LnRAKFWuRKTFru24,2,0.0,6,True,1.9459101490553132
0LoFGRIucK6NNAGi4,2,1.345227534940261,1,False,0.6931471805599453
0Lq2ezDl0aToxrcgB,2,0.0,1,True,0.6931471805599453
0LtxTnowJWrxGKnxs,2,0.9827585772423204,1,True,0.6931471805599453
0LuNF9agMl6WSZCsp,1,0.0,1,True,0.6931471805599453
0LuZr5T7H4XoOI0CY,2,0.0,0,False,0.0
0LuyNYiu25jDCbrdN,3,0.9247336346157627,1,True,0.6931471805599453
0Lv0ubPUyHQ4qkHXg,2,0.47140452079103173,1,False,0.6931471805599453
0Lv1slrVOdaaqi15E,2,,1,True,0.6931471805599453
0Lxijgce189Ph0rk4,1,0.0,0,True,0.0
0M2eADhOHlr7WxDIr,1,,1,True,0.6931471805599453
0M7mJBtPf2gdem9C7,2,0.0,1,True,0.6931471805599453
0MBsDDJJvFHWZ5d8P,2,,1,False,0.6931471805599453
0MCrKHNjdMYddLI8H,2,,1,True,0.6931471805599453
0MDwK7d9w6vQfKmSW,2,0.0,1,True,0.6931471805599453
0MLZsCqd5IlOf8ve3,2,0.0,4,True,1.6094379124341003
0MNJxl7frUi46qGMr,2,1.2795265564328004,2,True,1.0986122886681098
0MQHcJwn5GEdGkPAt,2,0.6060915267313264,2,True,1.0986122886681098
0MWDTb4rHcMY5RIw8,2,1.3232683305955801,16,False,2.833213344056216
0MhrrzmAHnjIG86bd,2,1.3862093334152121,1,True,0.6931471805599453
0Mn5L6cdjecgumMts,2,1.3862093334152121,1,True,0.6931471805599453
0MzUHHu9QroL0JB8I,2,1.386209333415212,0,True,0.0
0N0vbUud3uC59Qxsw,2,1.4128000555641265,1,False,0.6931471805599453
0NMK2Ol9Zk2qvXsm4,5,0.6930770613491711,1,True,0.6931471805599453
0NUw1EjX6ioyng2ee,2,,93,True,4.543294782270004
0NXCOdrW68FzzJPaZ,3,,1,True,0.6931471805599453
0NdjYKu8dfDfLfiRX,2,1.3232683305955801,1,False,0.6931471805599453
0NmaxdT3cfcUOyZ2q,2,0.7614996105085895,1,True,0.6931471805599453
0NmrQhlvjXdPnPdcH,2,,1,True,0.6931471805599453
