pscore,eligible,matched
0.9895486577315876,1,0
0.9763911024760018,1,0
0.9623321498959032,1,0
0.9700842198333506,1,0
0.9819462065058634,1,0
0.9750137802096677,1,0
0.9311595412328619,1,0
0.9769501729963764,1,0
0.9142453209562008,1,0
0.8402196097222874,1,1
0.8617278905161336,1,0
0.9760939258495069,1,0
0.9671181899857713,1,0
0.9292034770356014,1,0
0.9840266408927358,1,0
0.8415264276925604,0,1
0.977712445221536,1,0
0.9795687002787598,1,0
0.989930087176441,1,0
0.9094350640202795,1,0
0.9887915360515553,1,0
0.9785525114079306,1,0
0.9818284140109409,1,0
0.9783723361593143,1,0
0.9744552000601118,1,0
0.9709442652930248,1,0
0.9008197832470728,1,0
0.7668649987861371,1,0
0.9616026803967125,1,0
0.9818625681308166,1,0
0.9788251726577456,1,0
0.8278808837954266,1,0
0.9334978211426258,1,0
0.896090999471795,1,0
0.9942542778360435,1,0
0.9898499751436505,1,0
0.8993173957269992,1,0
0.9848915616105923,1,0
0.94232839829779,1,0
0.9871405495103975,1,0
0.9826086133913733,1,0
0.6235048208162498,0,1
0.9118378181917707,1,1
0.9553712244604695,1,0
0.9943530238546989,1,0
0.9303593762883687,1,0
0.9209838731592793,1,0
0.9501711662636937,1,0
0.9252560840652633,1,0
0.9174278467862135,1,0
0.8939719550793374,1,0
0.9897633621562397,1,0
0.9788464439830991,1,0
0.9983514669475185,1,0
0.9397452474747364,1,0
0.9871409859305099,1,0
0.9576780456029329,1,0
0.9688027834372475,1,0
0.9059150863577806,1,0
0.9397500434523437,1,0
0.9846138403391286,1,0
0.9850319222063515,1,0
0.9838452926405155,1,0
0.8860265812672927,1,0
0.8595807374933204,1,1
0.9946207428410495,1,0
0.987172511184943,1,0
0.9466031391555353,1,0
0.9952481695198594,1,0
0.9113526648082734,1,0
0.9553682967928255,1,0
0.9794239949236552,1,0
0.9291520444782991,1,0
0.9616064180788152,1,0
0.9103214666416082,1,0
0.9419332679271752,1,0
0.9791490725848875,1,0
0.9666330224659251,1,0
0.9831774729081867,1,0
0.9149533604540527,1,1
0.973726401857973,1,0
0.9779928560491958,1,1
0.9683532713417549,1,0
0.9886460396737327,1,0
0.9826288530396113,1,0
0.9279999680448195,1,0
0.7587186305875057,1,1
0.9836566838445839,1,0
0.9904278380916993,1,0
0.7221503117147436,1,1
0.9838647157614545,1,0
0.991633683254668,1,0
0.9617526746586386,1,0
0.9237665347338792,1,0
0.6651085093563699,0,1
0.8765337444275939,1,0
0.9753144769351187,1,0
0.9962090327886853,1,0
0.7291189427367142,1,1
0.9835981692111345,1,0
0.9646574661105973,1,0
0.9962604941675197,1,0
0.9692458336231463,1,1
0.8938711018613988,1,0
0.9551938689034635,1,0
0.9809047562935497,1,0
0.9736086089610716,1,0
0.9838546158462674,1,0
0.8630806317590031,1,0
0.969033848874193,1,0
0.9194408981762141,1,0
0.9171817628525925,0,1
0.9833492537879446,1,0
0.9744850358415984,1,0
0.8771660989135508,1,0
0.9830013532450242,1,0
0.9890507144125718,1,0
0.919416975372661,1,0
0.9960471381016636,1,0
0.9160408848026601,1,0
0.8116125131506162,1,0
0.9815396935937236,1,0
0.9098108744208484,1,0
0.9945889755245225,1,0
0.9813947799781869,1,0
0.9891946190382137,1,0
0.9787277138986893,0,1
0.9829629480321715,1,0
0.6692157246450351,1,0
0.9849680340063655,1,0
0.9558770752646869,1,0
0.8661260599566621,1,0
0.9814851753705294,1,0
0.9794457411818718,1,0
0.9415149978693157,1,0
0.9919691882394692,1,0
0.9794220350138665,1,1
0.964608288702184,1,0
0.9923934072860909,1,0
0.997880082025844,1,0
0.977344798827186,1,0
0.807888874008487,1,0
0.8377077649140852,1,0
0.9509495233398386,1,0
0.9784862163254626,1,1
0.9670731709328397,1,0
0.9715192613937707,1,0
0.9795406712697904,1,0
0.9532642402451486,1,0
0.9780368964811661,1,0
0.9182536100595501,1,0
0.9951699091185426,1,0
0.9860560747610634,1,0
0.9913911388159222,1,0
0.972569756464252,1,0
0.960746925347913,1,0
0.9317928232591391,1,0
0.9357424736069454,1,0
0.8637719445480062,0,1
0.9155592750007244,1,0
0.9054590702592413,1,0
0.9668954841282662,1,0
0.9606307811361559,1,0
0.9920884940389736,1,0
0.9969079879895256,1,0
0.9483374155644995,1,0
0.9845644007369417,1,0
0.9327073865825837,1,0
0.8021939825286838,1,0
0.9730494382057095,1,0
0.9802996862464918,1,0
0.9482415861439387,1,0
0.9931559869303193,1,0
0.900175172480731,1,0
0.980195215572326,1,0
0.9753886122018869,1,0
0.8377077437400685,1,0
0.9879862976540563,1,0
0.9854468325644424,1,0
0.9349675496227198,1,0
0.9847468020208124,1,0
0.996511284931922,1,0
0.9628198415420351,1,0
0.9909117170955626,1,0
0.8754129476588909,1,0
0.9976300080641526,1,0
0.9951448171027405,1,0
0.9754367039506023,1,0
0.679276420042368,1,0
0.5448226857142356,1,1
0.9567282136552459,1,0
0.9804115304538242,1,0
0.9186655298871672,1,0
0.9366266945926088,1,0
0.9813119506049484,1,0
0.9936852519762102,1,0
0.9615891013478823,1,0
0.9307928219412479,1,0
0.9959231686265041,1,0
0.9634414946348078,1,0
0.9777512669982574,1,0
0.9884729458398706,1,0
0.9864718035694451,1,0
0.911708626635687,1,0
0.9422393015738317,1,1
0.9873401434050119,1,0
0.938539458672427,0,1
0.9269766212987182,1,0
0.9825880691168176,1,0
0.9898909619371884,1,0
0.9930033747224727,1,0
0.9960276545266076,1,0
0.9048502526835638,1,0
0.9776312579725562,1,0
0.8377077806982361,1,0
0.8905226693465187,1,0
0.9809891815643516,1,0
0.9008022647646232,1,0
0.9427203331489967,1,0
0.9974179745566315,1,0
0.9962957654143942,1,0
0.9921076438370184,1,0
0.9917127011412994,1,0
0.898946944736851,1,0
0.998424541697065,1,0
0.926250837079998,1,0
0.9241768703585639,1,0
0.9483345681913435,1,0
0.9934928719037668,1,0
0.9680929078817068,1,0
0.8602924675628851,1,0
0.9702105863047475,1,0
0.9637807827233206,1,0
0.995026854526069,1,0
0.9474892539109515,1,0
0.993413732150375,1,0
0.9754497398117852,1,0
0.981595601651946,1,0
0.9674170020464832,1,0
0.9831057938390598,1,0
0.9864913973231133,1,0
0.9673395504346648,1,0
0.9819724794136676,1,0
0.9537436569551513,1,0
0.9704750079116975,0,1
0.9762153296063786,1,0
0.9344685105139454,1,0
0.7944897957549133,0,1
0.9927427025579535,1,0
0.9147135271406787,1,0
0.9885874972353738,1,0
0.9325301875241307,1,0
0.9859333965749894,1,0
0.9986507348510066,1,0
0.9952144172298942,1,0
0.9855952200972276,1,0
0.8522318510219411,0,1
0.971577541918176,1,0
0.9974739870446476,1,0
0.8719589627168793,1,1
0.9863220292963486,1,0
0.9929331610413554,1,0
0.9563030836602633,1,0
0.6895149538589205,0,1
0.9431744084043697,1,0
0.9825165851432539,1,0
0.9903889750207434,1,0
0.9893999047778165,1,0
0.9928161520837843,1,0
0.9907352904466151,1,0
0.9738840012736302,1,0
0.9207098951807039,1,0
0.9171948048889954,1,0
0.9093657442435741,1,0
0.9867261379429875,1,0
0.9958013353233743,1,0
0.9809304854691504,1,0
0.9380566558452622,1,0
0.9940251976643114,1,0
0.9650814068684318,1,0
0.9753369395317921,1,0
0.953140346054234,1,0
0.9670244736642667,1,0
0.982740181825053,1,0
0.9930737365990834,1,0
0.949424518197652,1,0
0.9121204861208547,1,0
0.9658283684723984,1,0
0.9491332453331612,1,0
0.9380107599198088,1,0
0.9392215165776244,1,0
0.9943950452652559,1,0
0.8844325591845236,0,1
0.9691797058663777,1,0
0.9926387096084724,1,0
0.9436919242120387,1,0
0.9669886046310816,1,0
0.939696269282738,1,0
0.9700901173813687,1,0
0.981263423473286,1,0
0.9623633406338797,1,0
0.9959811684191033,1,0
0.9798217566587014,1,0
0.9467209321190234,1,0
0.9598114603461,1,0
0.9854692020071151,1,0
0.9605918434706662,1,0
0.9092201753121184,1,0
0.8968266785760086,1,0
0.9673803465139774,1,0
0.995620403624473,1,0
0.9452322952265582,1,0
0.9689305223275753,1,0
0.9738893083592154,1,0
0.9929675094593394,1,0
0.9712189708941052,1,0
0.9811688258467495,1,0
0.9812084821636096,1,0
0.9108949748420339,1,1
0.9296364836560852,1,0
0.930225484349377,1,0
0.9931253697121507,1,0
0.9921642708887982,1,0
0.9954629297908514,1,0
0.9717333509444613,1,0
0.9304190923351188,1,0
0.9032219117179834,1,0
0.9552464883894425,1,0
0.9474120099270281,1,0
0.9269676996652433,1,1
0.918508133977479,1,1
0.9761051685838928,0,1
0.9875961822849753,1,0
0.9450173145470531,1,0
0.8671587813442607,1,1
0.9953134871514918,1,0
0.987073419636599,1,0
0.9928285545334452,1,0
0.9177644001071927,1,0
0.9870341498593985,1,0
0.9687606176001367,1,0
0.9940797585232412,1,0
0.993421303729832,1,0
0.9652141410509013,1,0
0.9943052223638306,1,0
0.9948734618608429,1,0
0.272652646806425,1,1
0.872484795033636,0,1
0.9571605518247255,1,0
0.9810127518341658,1,0
0.9800682477225342,1,0
0.9337146928869662,1,0
0.9897443155005095,1,0
0.9880059150943982,1,0
0.9964267724020576,1,0
