username,portfolio_size,agentic_share,avg_mu,avg_builds
tanduy.work,2,0.0,1.5,7.0
tender_signall,2,1.0,1.0,7.0
thecfmarketing,7,1.0,1.7142857142857142,9.285714285714286
thedoor,7,0.714,70.71428571428571,55.714285714285715
theguide,8,0.375,1.25,19.25
tidyfeed,2,1.0,1.0,4.5
titian_troupe,4,0.0,1.0,1.75
toludare,6,0.333,3.6666666666666665,32.166666666666664
toolkitlabs,4,1.0,1.0,4.75
toolsnmoreapi,4,0.75,7.25,33.25
topaz_sharingan,6,0.333,84.5,43.833333333333336
treff,2,0.0,0.5,29.5
trend_wizard,2,0.0,0.0,11.5
trepanat0r,2,1.0,2.0,1.0
treplit,2,0.0,0.0,53.0
tsi_amazon_sellers,2,1.0,1.0,20.0
turbulent_noodle,2,1.0,0.5,5.0
up2data,2,1.0,1.0,8.5
usestring,29,1.0,1.0,10.482758620689655
vamsi-krishna,8,0.25,1.5,10.5
vasram,3,1.0,2.3333333333333335,22.666666666666668
vertaizen,8,1.0,0.875,2.75
veska,2,1.0,1.0,13.0
videodownloaders,34,0.0,0.7058823529411765,2.264705882352941
violet_pluto,5,1.0,1.4,19.2
voyn,17,0.0,1.5294117647058822,35.8235294117647
vujeen,5,0.8,2.4,3.0
w4rd0g,4,1.0,1.25,4.0
wedo_software,3,1.0,5.333333333333333,23.0
weeknds,4,1.0,0.75,4.25
wetyr_corporation,25,0.68,0.96,1.84
wheaten_steelpan,3,1.0,1.0,16.333333333333332
workware,5,1.0,1.2,6.4
woundless_yellowwood,15,0.133,1.2,10.866666666666667
x.com,5,0.4,0.8,4.6
xanthic_polygon,4,0.75,0.5,9.75
xerophylous_mercy_0wn,4,1.0,0.75,6.5
xidik_inc,4,0.75,1.0,3.0
xmahbub,2,0.5,0.0,16.0
xmiso_scrapers,36,0.361,16.25,29.38888888888889
xtdata,7,0.429,56.714285714285715,32.285714285714285
xtracto,203,0.015,4.832512315270936,5.857142857142857
